CONTRACTID,TITLE,TOTALOPTIONYEARS,CURRENTOPTIONYEAR,CITYWIDE,AGENCY,AGENCYNAME,PROCUREMENTMETHOD,CONTRACTTYPE,MARKETTYPE,AMOUNT,LASTMODIFIED,CONTRACTSTATUS,AWARDDATE,EFFECTIVEDATE,EXPIRATIONDATE,OWNER,CONTRACTINGOFFICER,SUPPLIER,AWARDDOC,COMMODITY,SOLICITATIONID,DSC_LAST_MOD_DTTM,OBJECTID
CW25510,"DCSS-2011-D-961-81S-Marketing, Media & Public Information Services-Harrison Maldonado Associates, Inc",4.000000000000000,Option 3,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,900000,2015-03-20T15:33:00.000Z,Expired,2011-07-21T00:00:00.000Z,2014-07-21T00:00:00.000Z,2015-07-20T00:00:00.000Z,Sanaz Etminan,Sanaz Etminan,HARRISON MALDONADO ASSOCIATES,,"9610200 : Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",,2018-07-12T16:10:47.000Z,7259
CW30080,"Viscom Interpreting, Inc. - OY4",0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Requirements,Open,99000,2014-07-21T04:00:00.000Z,Expired,2010-07-21T00:00:00.000Z,2014-07-21T00:00:00.000Z,2015-07-20T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"VISCOM INTERPRETING, INC",,9616700 : Sign Language Services for the Hearing Impaired,,2018-07-12T16:10:47.000Z,7260
CW30080,"Viscom Interpreting, Inc. - OY4",0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Requirements,Open,99000,2014-07-21T04:00:00.000Z,Expired,2010-07-21T00:00:00.000Z,2014-07-21T00:00:00.000Z,2015-07-20T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"VISCOM INTERPRETING, INC",,"9616730 : INTERPRETER, SIGN LANGUAGE",,2018-07-12T16:10:47.000Z,7261
CW30285,Bucket Vans,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Cooperative Agreements,Firm Fixed Price,Open,118110,2014-09-16T14:42:00.000Z,Expired,2014-07-23T00:00:00.000Z,2014-07-23T00:00:00.000Z,2014-09-30T00:00:00.000Z,Michael Spriggs,James Roberts,ALTEC INDUSTRIES INC,,"0704854 : TRUCKS, PICKUP, COMPACT/MID-SIZE",,2018-07-12T16:10:47.000Z,7262
CW30282,Honda Civic,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Cooperative Agreements,Firm Fixed Price,Open,39614.6,2014-09-16T15:39:00.000Z,Expired,2014-07-23T00:00:00.000Z,2014-07-23T00:00:00.000Z,2014-09-30T00:00:00.000Z,Michael Spriggs,James Roberts,CRISWELL HONDA,,"0700641 : AUTOMOBILES, COMPACT, 4-DOOR SEDAN, 4 CYL. ENGINE",,2018-07-12T16:10:47.000Z,7263
CW30084,"Interpretype, LLC - OY4",0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,99000,2014-07-23T04:00:00.000Z,Expired,2010-07-23T00:00:00.000Z,2014-07-23T00:00:00.000Z,2015-07-22T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"INTERPRETYPE, LLC",,"9614600 : Interpreter Services (Foreign Language, Hearing Impaired, etc.)",,2018-07-12T16:10:47.000Z,7264
CW23288,IT - Digital Evidence Management System - MediaSolv,4.000000000000000,Option 1,,FA0,METROPOLITAN POLICE DEPARTMENT,Exempt From Competition,Firm Fixed Price,Open,48000,2014-11-06T16:35:00.000Z,Expired,2013-07-26T00:00:00.000Z,2014-07-26T00:00:00.000Z,2015-07-25T00:00:00.000Z,Chi Hui Yi,Chi Hui Yi,MediaSolv Solutions Corporation,,"2082745 : SOFTWARE, MICROCOMPUTER, COMMUNICATIONS, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED",,2018-07-12T16:10:47.000Z,7265
CW30103,American Amplifier and Television Corporation - OY4,0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,100000,2014-07-17T14:07:00.000Z,Expired,2010-07-27T00:00:00.000Z,2014-07-27T00:00:00.000Z,2015-07-26T00:00:00.000Z,Monica Brown,Marsha L. Robinson,AMERICAN AMPLIFIER & TV,,"8408478 : TV, CLOSED CIRCUIT",,2018-07-12T16:10:47.000Z,7266
CW30092,Central Vision Solutions - OY4,0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,99000,2014-07-27T04:00:00.000Z,Expired,2010-07-27T00:00:00.000Z,2014-07-27T00:00:00.000Z,2015-07-26T00:00:00.000Z,Monica Brown,Marsha L. Robinson,CENTRAL VISION SOLUTIONS,,4707900 : Vision Impaired Mobility Devices and Equipment,,2018-07-12T16:10:47.000Z,7267
CW10486,AT Discount Sales and Services LLC - OY4 ,0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,90000,2014-10-24T18:08:00.000Z,Expired,2010-07-28T00:00:00.000Z,2014-07-28T00:00:00.000Z,2015-07-27T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"AT DISCOUNT SALES & SVCS, LLC",,"7100000 : PROSTHETIC DEVICES, HEARING AIDS, AUDITORY TESTING EQUIPMENT, ELECTRONIC READING DEVICES, ETC.",,2018-07-12T16:10:47.000Z,7268
CW30404,Caravans and Cargo Van,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Cooperative Agreements,Firm Fixed Price,Open,185098,2014-09-15T20:53:00.000Z,Expired,2014-07-28T00:00:00.000Z,2014-07-28T00:00:00.000Z,2014-09-30T00:00:00.000Z,Michael Spriggs,James Roberts,"Criswell Performance Cars, LLC",,"0709234 : VANS, CARGO",,2018-07-12T16:10:47.000Z,7269
CW30404,Caravans and Cargo Van,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Cooperative Agreements,Firm Fixed Price,Open,185098,2014-09-15T20:53:00.000Z,Expired,2014-07-28T00:00:00.000Z,2014-07-28T00:00:00.000Z,2014-09-30T00:00:00.000Z,Michael Spriggs,James Roberts,"Criswell Performance Cars, LLC",,"0709329 : VANS, PASSENGER",,2018-07-12T16:10:47.000Z,7270
CW30332,Cheverolet Volt,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Cooperative Agreements,Firm Fixed Price,Open,74181.8,2014-09-16T13:50:00.000Z,Expired,2014-07-28T00:00:00.000Z,2014-07-28T00:00:00.000Z,2014-09-30T00:00:00.000Z,Michael Spriggs,James Roberts,"CRISWELL CHEVEROLET, INC.",,"0700641 : AUTOMOBILES, COMPACT, 4-DOOR SEDAN, 4 CYL. ENGINE",,2018-07-12T16:10:47.000Z,7271
CW30109,"Deaf Access Solutions, Inc. - OY4",0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,99000,2014-07-29T04:00:00.000Z,Expired,2010-07-29T00:00:00.000Z,2014-07-29T00:00:00.000Z,2015-07-28T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"Deaf Access Solutions, Inc.",,"9617252 : TRANSCRIPTION SERVICES, MEDICAL, PROFESSIONAL",,2018-07-12T16:10:47.000Z,7272
CW30999,Crowdfunding Services Pilot Program ,1.000000000000000,Base Period,,EB0,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,Sole Source,Firm Fixed Price,Open,20000,2014-09-19T15:31:00.000Z,Expired,2014-07-30T00:00:00.000Z,2014-07-30T00:00:00.000Z,2014-12-31T00:00:00.000Z,Lindel Reid,Jacqueline McDonald,NATIONAL CROWDFUNDING SERVICES,,9625800 : Professional Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7273
CW30466,Toyota Tacomas,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,245726.72,2014-09-15T19:53:00.000Z,Expired,2014-07-30T00:00:00.000Z,2014-07-30T00:00:00.000Z,2015-07-29T00:00:00.000Z,Michael Spriggs,James Roberts,Kline Imports Arlington Inc,,"0700641 : AUTOMOBILES, COMPACT, 4-DOOR SEDAN, 4 CYL. ENGINE",,2018-07-12T16:10:47.000Z,7274
CW23049,"DCSS - Medical Supplies - Sala, LLC",4.000000000000000,Option 1,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,500000,2014-10-23T16:16:00.000Z,Expired,2013-07-31T00:00:00.000Z,2014-07-31T00:00:00.000Z,2015-07-30T00:00:00.000Z,Heather Reynolds,Sanaz Etminan,"SALA, LLC",,"4750000 : HOSPITAL, SURGICAL, AND RELATED MEDICAL ACCESSORIES AND SUNDRY ITEMS",,2018-07-12T16:10:47.000Z,7275
CW33030,Libera - Base Year,4.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,258275,2014-11-06T17:12:00.000Z,Expired,2014-08-01T00:00:00.000Z,2014-08-01T00:00:00.000Z,2015-07-31T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"Libera, Inc.",,9204583 : TECHNICAL SUPPORT PHONE LINE,,2018-07-12T16:10:47.000Z,7276
CW20844,Cincinnati Childrens Hospital Medical Center - OY4,1.000000000000000,Option 1,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Indefinite Delivery Indefinite Quantity,Open,24558,2014-08-02T08:03:00.000Z,Expired,2010-08-02T00:00:00.000Z,2014-08-02T00:00:00.000Z,2015-08-01T00:00:00.000Z,Monica Brown,Marsha L. Robinson,CHILDREN'S HOSPITAL MEDICAL CT,,9185800 : Governmental Consulting,,2018-07-12T16:10:47.000Z,7277
CW20846,Freedom Scientific Learning Systems Group - OY4,2.000000000000000,Option 2,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Requirements,Open,38000,2014-08-02T08:03:00.000Z,Expired,2010-08-02T00:00:00.000Z,2014-08-02T00:00:00.000Z,2015-08-01T00:00:00.000Z,Monica Brown,Marsha L. Robinson,FREEDOM SCIENTIFIC BLV,,7109500 : Speech Training Equipment (For the Hearing Impaired),,2018-07-12T16:10:47.000Z,7278
CW30591,"   REINGOLD LINK, LLC -OY1-FY14",0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,DC Supply Schedule,Firm Fixed Price,Set Aside,30804.9,2014-08-14T19:14:00.000Z,Expired,2013-08-29T00:00:00.000Z,2014-08-05T00:00:00.000Z,2014-11-30T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LINK Strategic Partners,,9150300 : Advertising/Public Relations,,2018-07-12T16:10:47.000Z,7279
CW30489,LANDesk Configuration-OUC,0.000000000000000,Base Period,,UC0,OFFICE OF UNIFIED COMMUNICATIONS,GSA (Federal Supply Schedule),Firm Fixed Price,Set Aside,68043.25,2015-08-25T16:58:00.000Z,Closed,2014-08-05T00:00:00.000Z,2014-08-05T00:00:00.000Z,2015-08-04T00:00:00.000Z,Alisha Wright,Priscilla Mack,Modern Gov IT,,"9204531 : MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",,2018-07-12T16:10:47.000Z,7280
CW30299,Legal Support - DYRS,4.000000000000000,Option 1,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,100000,2014-12-29T13:39:00.000Z,Closed,2013-08-05T00:00:00.000Z,2014-08-05T00:00:00.000Z,2015-08-04T00:00:00.000Z,Alisha Wright,Heather Reynolds,TECKNOMIC LLC,,9187400 : Legal Consulting,,2018-07-12T16:10:47.000Z,7281
CW30646,15 Passenger and 13 Passenger Vans,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Cooperative Agreements,Firm Fixed Price,Open,103314.5,2014-09-15T19:54:00.000Z,Expired,2014-08-07T00:00:00.000Z,2014-08-07T00:00:00.000Z,2015-08-06T00:00:00.000Z,Michael Spriggs,James Roberts,"CRISWELL CHEVEROLET, INC.",,"0709329 : VANS, PASSENGER",,2018-07-12T16:10:47.000Z,7282
CW33039,"Octane, LLC - OY4",0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Set Aside,65000,2014-11-06T19:12:00.000Z,Expired,2010-08-12T00:00:00.000Z,2014-08-12T00:00:00.000Z,2015-08-11T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"OCTANE, LLC",,6007240 : FAX MACHINE/COPIER/SCANNER/COLOR PRINTER COMBINATION,,2018-07-12T16:10:47.000Z,7283
CW23698,"Abacus-N-Bytes, Inc. dba TCS Associates - OY4",1.000000000000000,Option 1,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Indefinite Delivery Indefinite Quantity,Open,90000,2014-08-13T08:00:00.000Z,Expired,2010-08-13T00:00:00.000Z,2014-08-13T00:00:00.000Z,2015-08-12T00:00:00.000Z,Monica Brown,Marsha L. Robinson,TCS INTERPRETING INC,,"9616730 : INTERPRETER, SIGN LANGUAGE",,2018-07-12T16:10:47.000Z,7284
CW17235,DOC 2012 Laundry Services,1.000000000000000,Option 1,,FL0,DEPARTMENT OF CORRECTIONS,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,450099,2015-03-26T14:46:00.000Z,Expired,2012-08-09T00:00:00.000Z,2014-08-13T00:00:00.000Z,2014-12-31T00:00:00.000Z,Ruby Nelson,Deborah White,Penitentiary Industrial Dept. Commonwealth doing business as Virginia,,"9540552 : LAUNDRY SERVICES. THE CONTRACTOR SHALL BE RESPONSIBLE FOR INVENTORY PROCUREMENT, PICK UP OF SOILED LAUNDRY, CLEANING, SANITIZING, PACKAGING, WRAPPING AND DELIVERY/PLACEMENT OF CLEAN LAUNDRY",,2018-07-12T16:10:47.000Z,7285
CW30605,Fy14-TO0-OCTO-Compellent SAN DAE Enclosures purchase,0.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Cooperative Agreements,Firm Fixed Price,Open,222926,2016-03-01T05:00:00.000Z,Expired,2014-08-13T00:00:00.000Z,2014-08-13T00:00:00.000Z,2015-08-12T00:00:00.000Z,Yemarshet Kebede,Chi Hui Yi,Dell Computer Corp.,,"2045373 : SERVERS, FILE, MICROCOMPUTER",,2018-07-12T16:10:47.000Z,7286
CW30785,Professional IT and Telecommunications Services-1-Tecknomic LLC,4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Small Purchase,Labor Hour,Open,100000,2014-08-14T18:12:00.000Z,Expired,2014-08-14T00:00:00.000Z,2014-08-14T00:00:00.000Z,2015-08-13T00:00:00.000Z,Rosadene Gill,James Roberts,TECKNOMIC LLC,,9621826 : COMPUTER CABLE INSTALLATION,,2018-07-12T16:10:47.000Z,7287
CW30787,Professional IT and Telecommunications Services-2-R. Rea Corp.,4.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Small Purchase,Labor Hour,Open,100000,2016-01-20T15:43:00.000Z,Expired,2014-08-14T00:00:00.000Z,2014-08-14T00:00:00.000Z,2015-08-13T00:00:00.000Z,Rosadene Gill,James Roberts,R. REA CORPORATION,,9621826 : COMPUTER CABLE INSTALLATION,,2018-07-12T16:10:47.000Z,7288
CW30866,RFP-DOC145429¿DCFL-2014-C-1400 Pre-Release Community Correctional Services-AM-01,4.000000000000000,Base Period,,FL0,DEPARTMENT OF CORRECTIONS,Competitive Sealed Proposal (RFP),Indefinite Delivery Indefinite Quantity,Open,990000,2014-10-02T13:17:00.000Z,Expired,2014-08-14T00:00:00.000Z,2014-08-14T00:00:00.000Z,2015-08-13T00:00:00.000Z,Antwanette Boone Murphy,Deborah White,EXTENDED HOUSE INC,,9524900 : Halfway Housing,,2018-07-12T16:10:47.000Z,7289
CW30868,RFP-DOC145429¿DCFL-2014-C-1401 Pre-Release Community Correctional Services-AM-01,4.000000000000000,Base Period,,FL0,DEPARTMENT OF CORRECTIONS,Competitive Sealed Proposal (RFP),Indefinite Delivery Indefinite Quantity,Open,990000,2014-10-02T12:57:00.000Z,Expired,2014-08-14T00:00:00.000Z,2014-08-14T00:00:00.000Z,2015-08-13T00:00:00.000Z,Antwanette Boone Murphy,Shafiqur Choudhary,HOPE VILLAGE INC,,9524900 : Halfway Housing,,2018-07-12T16:10:47.000Z,7290
CW30870,RFP-DOC145429¿DCFL-2014-C-1402 Pre-Release Community Correctional Services-AM-01,4.000000000000000,Base Period,,FL0,DEPARTMENT OF CORRECTIONS,Competitive Sealed Proposal (RFP),Indefinite Delivery Indefinite Quantity,Open,990000,2014-10-02T16:31:00.000Z,Expired,2014-08-14T00:00:00.000Z,2014-08-14T00:00:00.000Z,2015-08-13T00:00:00.000Z,Antwanette Boone Murphy,Shafiqur Choudhary,REYNOLDS AND ASSOCIATES,,9524900 : Halfway Housing,,2018-07-12T16:10:47.000Z,7291
CW30562,DCSS Application for IT,4.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Firm Fixed Price,Set Aside,950000,2015-02-19T15:06:00.000Z,Expired,2014-08-15T00:00:00.000Z,2014-08-15T00:00:00.000Z,2015-08-14T00:00:00.000Z,"Mahoney, Karen E.",Sanaz Etminan,R. REA CORPORATION,,"9200000 : DATA PROCESSING, COMPUTER, AND SOFTWARE SERVICES",,2018-07-12T16:10:47.000Z,7292
CW23711,"Phoenix Therapeutic Services, Inc. (OY4)",0.000000000000000,Option 1,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Requirements,Open,18000,2014-08-16T08:00:00.000Z,Expired,2010-08-16T00:00:00.000Z,2014-08-16T00:00:00.000Z,2015-08-15T00:00:00.000Z,Monica Brown,Marsha L. Robinson,PHOENIX THERAPEUTIC SERVICES I,,"9529000 : Training and Instruction (For Clients, Not Staff)",,2018-07-12T16:10:47.000Z,7293
CW30292,"Adaptive-Success, LLC - OY4",0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,2501,2014-08-18T04:00:00.000Z,Expired,2010-08-17T00:00:00.000Z,2014-08-17T00:00:00.000Z,2015-08-16T00:00:00.000Z,Monica Brown,Marsha L. Robinson,"ADAPTIVE SUCCESS, LLC",,"9529000 : Training and Instruction (For Clients, Not Staff)",,2018-07-12T16:10:47.000Z,7294
CW30844,Box Truck for Public Records,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,59896,2014-09-15T19:54:00.000Z,Expired,2014-08-19T00:00:00.000Z,2014-08-19T00:00:00.000Z,2014-10-31T00:00:00.000Z,Michael Spriggs,James Roberts,"CRISWELL CHEVEROLET, INC.",,"9989400 : Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses)",,2018-07-12T16:10:47.000Z,7295
CW30794,Contract Workspace (Procurement)-ADC Management Solutions,4.000000000000000,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Firm Fixed Price,Set Aside,950000,2016-08-10T20:16:00.000Z,Expired,2014-08-19T00:00:00.000Z,2014-08-19T00:00:00.000Z,2015-08-18T00:00:00.000Z,Uranus Anderson,Sanaz Etminan,"Aspen of DC, Inc. d/b/a ADC Management Solutions",,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,7296
CW32812,Policy Studies Associates - IHE Data & Develop Scorecards,4.000000000000000,Option 2,,GD0,STATE SUPERINTENDENT OF EDUCATION (OSSE),Small Purchase,Firm Fixed Price,Open,217478,2015-08-18T19:48:00.000Z,Expired,2012-08-20T00:00:00.000Z,2014-08-20T00:00:00.000Z,2015-08-19T00:00:00.000Z,William Proctor,Alvin N Stith,"Policy Studies Associates, Inc.",,9625800 : Professional Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,7297
CW22665,DCSS - Industrial Supplies and Apparel - Dominion Electric Supply Co.,4.000000000000000,Option 1,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,900000,2014-09-12T19:02:00.000Z,Closed,2013-06-19T00:00:00.000Z,2014-08-22T00:00:00.000Z,2015-08-21T00:00:00.000Z,Sanaz Etminan,Sanaz Etminan,"Dominion Electric of Washington, LLC",,"4850000 : JANITORIAL SUPPLIES, GENERAL LINE",,2018-07-12T16:10:47.000Z,7298
CW23446,"DCSS - MOBIS - District Transportation and Parking Consultants, Inc",4.000000000000000,Option 1,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2014-09-18T21:14:00.000Z,Expired,2013-08-14T00:00:00.000Z,2014-08-22T00:00:00.000Z,2015-08-21T00:00:00.000Z,Sanaz Etminan,Sanaz Etminan,district transportation  and parking consultants inc,,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,7299
CW60873,"DCSS-Advertising, Novelties, & Souvenirs-Alinea Promos, LLC",4,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,400000,2018-06-07T16:32:12.000Z,Published,2018-05-24T00:00:00.000Z,2018-05-24T00:00:00.000Z,2019-05-23T00:00:00.000Z,Tiffany Starks,James Webb,Alinea Promos LLC,CW60873-Base Period-Contract Award-Executed-Contract.pdf,"0370000 : AMUSEMENT, DECORATIONS, ENTERTAINMENT, TOYS, ETC.",,2018-07-12T16:10:47.000Z,4300
CW59123,FY18-CF0-OYP-MBSYEP-Work Readiness and GIS KBEC,0,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,Human Care Agreements,Firm Fixed Price,Open,100000,2018-06-06T13:23:41.000Z,Published,2018-02-21T00:00:00.000Z,2018-02-21T00:00:00.000Z,2018-09-30T00:00:00.000Z,Durrell McDaniel,Tia Mercer,KBEC Group,,9529500 : Youth Care Services,,2018-07-12T16:10:47.000Z,4301
CW60989,"FY18 - CF0 - OYP - MBSYEP - 14 to 17 Year Olds - Work Readiness & GIS - Healthy Babies Project, Inc.",0,Base Period,,EM0,DEPTY MAYOR GREATER ECONOMIC OPPORTUNITY,Human Care Agreements,Firm Fixed Price,Open,100000,2018-06-07T12:58:06.000Z,Published,2018-05-07T00:00:00.000Z,2018-05-31T00:00:00.000Z,2019-05-30T00:00:00.000Z,Danyel Riley,Tia Mercer,"HEALTHY BABIES PROJECT, INC.",,7159020 : EDUCATIONAL/TRAINING,,2018-07-12T16:10:47.000Z,4302
CW59975,"DCSS-2006-R-918-00-Cura Concepts, LLC",4,Base Period,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,10000000,2018-06-07T15:24:04.000Z,Published,2018-04-26T00:00:00.000Z,2018-04-26T00:00:00.000Z,2019-04-25T00:00:00.000Z,Tamika Freeman,Priscilla Mack,Cura Concepts,CW59975-Base Period-Contract Award-Award Contract.pdf,"9180610 : ADMINISTRATIVE SUPPORT, CONSULTING SERVICES",,2018-07-12T16:10:47.000Z,4303
CW51383,Cisco SMART Net Services,3,Option 1,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Cooperative Agreements,Firm Fixed Price,Open,1897684.29,2018-06-06T13:44:44.000Z,Published,2017-04-21T00:00:00.000Z,2017-10-01T00:00:00.000Z,2018-09-30T00:00:00.000Z,Georgette Johnson,Chi Hui Yi,n2grate,CW51383-Option 1-Contract Award-Executed CW51383 N2grate.pdf,"9204531 : MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",,2018-07-12T16:10:47.000Z,4304
CW43848,CW43848 - Constituent Services Worldwide  ,4,Option 2,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,500000,2018-06-05T20:38:53.000Z,Published,2017-05-31T00:00:00.000Z,2018-05-31T00:00:00.000Z,2019-05-05T00:00:00.000Z,Tamika Freeman,James Webb,Constituent Services Worldwide Public Benefit Corporation,,9240000 : EDUCATIONAL SERVICES,,2018-07-12T16:10:47.000Z,4305
CW44149,FY16 - OSSE - DEL - Little Feet and Hands - DS,4,Option 3,,GD0,STATE SUPERINTENDENT OF EDUCATION (OSSE),Human Care Agreements,Firm Fixed Price,Open,900000,2018-06-07T16:00:59.000Z,Published,2015-05-18T00:00:00.000Z,2018-05-18T00:00:00.000Z,2019-04-17T00:00:00.000Z,Cathy Bridges,Tamera Anderson,"LITTLE HANDS & LITTLE FEET,INC",,9625800 : Professional Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,4306
CW58037,"DCSS-2006-R-918-00-Mission Oriented Business Integrated Services-Affinity Media Consulting, LLC.",4,Base Period,1,,,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2018-06-06T13:47:04.000Z,Published,2018-06-04T00:00:00.000Z,2018-06-04T00:00:00.000Z,2019-06-03T00:00:00.000Z,Tamika Freeman,James Webb,Affinity Media Consulting LLC,CW58037-Base Period-Contract Award-Award Contract.pdf,"9180610 : ADMINISTRATIVE SUPPORT, CONSULTING SERVICES",,2018-07-12T16:10:47.000Z,4307
CW59971,DCSS-MOBIS- Dream Factory Cooperative DC,4,Base Period,,PO0,OFFICE OF CONTRACTING AND PROCUREMENT,DC Supply Schedule,Indefinite Delivery Indefinite Quantity,Set Aside,950000,2018-06-06T14:27:10.000Z,Published,2018-05-30T00:00:00.000Z,2018-05-30T00:00:00.000Z,2019-05-29T00:00:00.000Z,Tiffany Starks,James Webb,Dream Factory Cooperative DC,CW59971-Base Period-Contract Award-Executed-Contract.pdf,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,4308
CW58441,FY18 - CF0 - Office of Information Technology - Xerox Copiers,0,Base Period,,EM0,DEPTY MAYOR GREATER ECONOMIC OPPORTUNITY,GSA (Federal Supply Schedule),Firm Fixed Price,Open,500000,2018-06-06T13:42:29.000Z,Published,2018-01-17T00:00:00.000Z,2018-01-17T00:00:00.000Z,2018-09-30T00:00:00.000Z,LaVietra Shannon,Tia Mercer,XEROX CORPORATION,,"9850000 : RENTAL OR LEASE SERVICES OF EQUIPMENT - OFFICE, PHOTOGRAPHIC, PRINTING, RADIO/TELEVISION/TELEPHONE EQUIPMENT",,2018-07-12T16:10:47.000Z,4309
CW54105,DHS Rapid Re-Housing-I - Friendship Place,4,Base Period,,JA0,DEPARTMENT OF HUMAN SERVICES,Human Care Agreements,Firm Fixed Price,Open,2128000,2018-06-06T16:02:33.000Z,Published,2017-09-08T00:00:00.000Z,2017-09-08T00:00:00.000Z,2018-09-07T00:00:00.000Z,Willandria Blount,Shaivard Shamloo,Friendship Place,,9521500 : Case Management,,2018-07-12T16:10:47.000Z,4310
CW60745,FY18 - CF0 - OYP - MBSYEP - 14 to 17 Year Olds - Work Readiness & GIS - Total Family Care Coalition,0,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,Human Care Agreements,Firm Fixed Price,Open,100000,2018-06-07T13:21:54.000Z,Published,2018-04-26T00:00:00.000Z,2018-04-30T00:00:00.000Z,2019-04-29T00:00:00.000Z,Danyel Riley,Tia Mercer,TOTAL FAMILY CARE COALITION,,7159020 : EDUCATIONAL/TRAINING,,2018-07-12T16:10:47.000Z,4311
